   Ars-CR      Control      Ars-AR   
  AS-cytoplasm-totalRNA      "Fresh cells-totalRNA"      AS-aggresome-totalRNA    
 "length in nucleotide" "intensity 1" "intensity 2" "intensity 3" average bar  "intensity 1" "intensity 2" "intensity 3" average bar  "intensity 1" "intensity 2" "intensity 3" average bar
41 19810.6667657306 47.9452053646087 34.2465751195346 28 36.7305934947144 10.2019882731396  50.5550994901635 60.4013242481037 60.7976653696498 57.2513630359723 5.80251933881769  63.141640909538 75.541112514431 69.4907187053784 69.3911573764491 6.20033534285047
42 25681.5375771134 54.7945204871458 48.4319712275691 33.5 45.5754972382383 10.9308615137674  69.4427700612069 67.1125825515831 65.6614785992218 67.4056104040039 1.9076006583772  47.9407074754928 47.2962175750482 80.4378867206092 58.5582705903834 18.9510433304468
43 32968.6063161776 34.2465751195346 34.2465751195346 35.5 34.6643834130231 0.723665192145675  55.9865510242884 70.0675931552989 70.5252918287938 65.5264786694604 8.26498860406153  61.6380526093777 67.9030150828136 48.0723465016659 59.2044713979524 10.1368433068821
44 41891.134423289 34.2465751195346 41.6627570913246 33.5 36.4697774036197 4.51271782077758  43.9194639919245 60.4013242481037 37.9377431906615 47.4195104768966 11.6336091789605  54.7893800424353 54.0528201552658 64.7310804378867 57.8577602118626 5.96385180180987
45 52684.1188237937 21.6594359976264 28.2404495311517 28 25.9666285095927 3.73207509244009  41.665661836729 40.2675493376656 54.4747081712062 45.4693064485336 7.83017399423827  41.0920349085503 74.629114197161 58.5435506901475 58.0882332652863 16.7731752292366
46 65598.2919280319 13.6986302450741 28.2404495311517 34 25.3130265920753 10.4624928807492  49.1034534929776 54.1078937963477 43.7743190661479 48.9952221184911 5.16763748718633  61.6380526093777 60.8094227354835 63.7791527843884 62.0755427097499 1.53243999288224
47 80900.1216313182 34.9247909550767 41.6627570913246 22.5 33.0291826821338 9.7209985535754  43.9194639919245 40.8229902512393 65.6614785992218 50.1346442807952 13.535471006603  34.2433623416079 40.5396149948305 54.2598762494051 43.0142845286145 10.2351452960541
48 98871.8113139654 20.5479453676112 21.6594359976264 23 21.7357937884125 1.2278093761717  28.6319876111987 47.4557621075695 43.7743190661479 39.9540229283054 9.97645320282544  34.2433623416079 49.1888086978599 37.6011423131842 40.3444377842173 7.84129097967578
49 119811.299841261 43.3188719952527 49.8637661863163 22.5 38.5608793938563 14.2889046176064  20.8328311683585 26.8450332139175 44.7470817120623 30.8083153647794 12.4399979430169  55.2157629972261 27.8581859288157 42.836744407425 41.9702311111556 13.6993572744477
50 144032.261563482 13.6986302450741 34.9247909550767 17.5 22.0411404000503 11.3183011853123  37.3960762871105 46.978807641145 37.9377431906615 40.7708757063057 5.38304420744426  27.3946902677698 47.7763945601628 37.125178486435 37.4320877714559 10.1943176548292
