#Settings
#Ntime 4096000
#Nprint 40960
#tstart 0.000000e+00
#LX 1.000000e+03
#LY 3.000000e+03
#dx 5.000000e+01
#NX 20
#NY 60
#DA 0.000000e+00
#DBin 1.000000e-04
#DBout 4.000000e-04
#epsAA -2.000000e+00
#epsAB -2.500000e+00
#DBout 4.000000e-04
#nA 4.000000e+02
#nB 3.200000e+02
#tbleach 6.000000e+02
#Xbleach 1.000000e+01
#Ybleach 1.000000e+01
#bleach_radius[micron] 3.700000e-01
#==
Fixed Aggresome Mode - Number of proteins override:
#nA 3.370000e+02
#nB 3.370000e+02
    #time[s]  frap[#proteins]        Ahops        Bhops  accepted[%]     cin/cout
7.478683e+02     1.632653e-01            0        46866          4.1     3.52e+00
7.746567e+02     1.750354e-01            0        48513          4.1     3.39e+00
8.012201e+02     1.982847e-01            0        50179          4.1     3.27e+00
8.279683e+02     1.635514e-01            0        51904          4.1     3.19e+00
8.545627e+02     1.753816e-01            0        53690          4.1     3.15e+00
8.812335e+02     1.988618e-01            0        55485          4.1     3.15e+00
9.078396e+02     1.991983e-01            0        57286          4.1     3.01e+00
9.345014e+02     1.644578e-01            0        58996          4.1     2.97e+00
9.612101e+02     1.764706e-01            0        60761          4.1     3.01e+00
9.879220e+02     1.648951e-01            0        62530          4.1     2.87e+00
1.014491e+03     1.767677e-01            0        64308          4.1     2.97e+00
1.040975e+03     1.653846e-01            0        66006          4.1     2.87e+00
1.067571e+03     1.774671e-01            0        67757          4.1     2.90e+00
1.094251e+03     2.013688e-01            0        69455          4.1     2.87e+00
1.120906e+03     2.017544e-01            0        71199          4.1     2.80e+00
1.147678e+03     2.259044e-01            0        73052          4.1     2.87e+00
1.174329e+03     2.142857e-01            0        74721          4.1     2.70e+00
1.200769e+03     2.146508e-01            0        76336          4.1     2.64e+00
1.227369e+03     2.270012e-01            0        78104          4.1     2.58e+00
1.254113e+03     2.153413e-01            0        79851          4.1     2.67e+00
1.280737e+03     1.917935e-01            0        81530          4.1     2.64e+00
1.307371e+03     1.802721e-01            0        83341          4.2     2.64e+00
1.334096e+03     2.047736e-01            0        85127          4.2     2.58e+00
1.360583e+03     1.810799e-01            0        86884          4.2     2.67e+00
1.387249e+03     2.299049e-01            0        88671          4.2     2.61e+00
1.413899e+03     2.421925e-01            0        90394          4.2     2.55e+00
1.440576e+03     2.667224e-01            0        92210          4.2     2.61e+00
1.467342e+03     2.426985e-01            0        93930          4.2     2.67e+00
1.494130e+03     2.186677e-01            0        95745          4.2     2.73e+00
1.520534e+03     2.430279e-01            0        97490          4.2     2.83e+00
1.547320e+03     2.433759e-01            0        99268          4.2     2.67e+00
1.573748e+03     2.437137e-01            0       101044          4.2     2.61e+00
1.600416e+03     2.195959e-01            0       102726          4.2     2.67e+00
1.627013e+03     2.321865e-01            0       104452          4.2     2.52e+00
1.653738e+03     2.569998e-01            0       106158          4.2     2.64e+00
1.680344e+03     2.451070e-01            0       107886          4.2     2.70e+00
1.706919e+03     2.333815e-01            0       109508          4.2     2.64e+00
1.733569e+03     2.581507e-01            0       111206          4.2     2.67e+00
1.760326e+03     1.970097e-01            0       113050          4.2     2.61e+00
1.786950e+03     2.096942e-01            0       114802          4.2     2.64e+00
1.813655e+03     1.976664e-01            0       116543          4.2     2.67e+00
1.840464e+03     2.102321e-01            0       118327          4.2     2.77e+00
1.867218e+03     2.352351e-01            0       120127          4.2     2.70e+00
1.894015e+03     2.478519e-01            0       121848          4.2     2.64e+00
1.920646e+03     2.852015e-01            0       123613          4.2     2.70e+00
1.947486e+03     2.608065e-01            0       125303          4.2     2.64e+00
1.974206e+03     2.608696e-01            0       126971          4.2     2.73e+00
2.000958e+03     2.362291e-01            0       128646          4.2     2.64e+00
2.027384e+03     2.363919e-01            0       130304          4.2     2.61e+00
2.054214e+03     2.118136e-01            0       132038          4.2     2.55e+00
2.080753e+03     2.243843e-01            0       133638          4.2     2.67e+00
2.107579e+03     1.996392e-01            0       135380          4.2     2.64e+00
2.134274e+03     2.248327e-01            0       137162          4.2     2.58e+00
2.160865e+03     2.125625e-01            0       138875          4.2     2.46e+00
2.187440e+03     2.127783e-01            0       140543          4.2     2.37e+00
2.213998e+03     2.255509e-01            0       142208          4.2     2.34e+00
2.240593e+03     2.007986e-01            0       143904          4.2     2.43e+00
2.267360e+03     2.010448e-01            0       145631          4.2     2.52e+00
2.294003e+03     2.013141e-01            0       147308          4.2     2.55e+00
2.320923e+03     2.266814e-01            0       149033          4.2     2.52e+00
2.347693e+03     2.394193e-01            0       150710          4.2     2.58e+00
2.374344e+03     2.019544e-01            0       152522          4.2     2.46e+00
2.401065e+03     2.149005e-01            0       154283          4.2     2.37e+00
2.427791e+03     2.279088e-01            0       156046          4.2     2.34e+00
2.454290e+03     2.155594e-01            0       157787          4.2     2.29e+00
2.480826e+03     2.285939e-01            0       159519          4.2     2.40e+00
2.507553e+03     2.542813e-01            0       161223          4.2     2.40e+00
2.533989e+03     2.291372e-01            0       162886          4.2     2.34e+00
2.560686e+03     2.421925e-01            0       164556          4.2     2.29e+00
2.587381e+03     2.552439e-01            0       166314          4.2     2.34e+00
2.613953e+03     2.682530e-01            0       168037          4.2     2.34e+00
2.640702e+03     2.684622e-01            0       169687          4.2     2.40e+00
2.667521e+03     2.685686e-01            0       171392          4.2     2.46e+00
